,word,Ambiguity,N,Entropy,Dissimilarity,Dominance,Communities,Norms
61,doble,0.43852459450838843,3,0.4911207988969834,0.8929057687910558,0.8395061728395061,"[['básquetbol', 'dos', 'duplicado', 'mellizos', 'nada', 'par', 'triple'], ['más', 'múltiple'], ['visión']]","[84, 11, 5]"
62,dúo,0.339416779334867,2,0.445693177722561,0.7615480700630113,0.9072164948453608,"[['ambos', 'compañeros', 'cuarteto', 'dos', 'equipo', 'grupo', 'juntos', 'música', 'par', 'pareja'], ['dinámico']]","[91, 9]"
63,pareja,0,1,0,0,1.0,"[['amigo', 'amistad', 'amor', 'compañerismo', 'compañero', 'cónyuge', 'dos', 'familia', 'igual', 'matrimonio', 'novios', 'par', 'sexo', 'vida']]",[100]
64,segundo,0.3113362647907991,4,0.3449935157227219,0.9024409172983593,0.8854166666666666,"[['cuarto', 'dos', 'hora', 'instante', 'lugar', 'minuto', 'primero', 'reloj', 'tercero', 'tiempo'], ['orden'], ['siguiente'], ['hijo']]","[89, 5, 3, 3]"
65,tres,0.2605653607694976,3,0.31013514592727937,0.8401671471010741,0.9176470588235294,"[['cantidad', 'cuatro', 'dos', 'impar', 'número', 'triángulo', 'trío', 'uno'], ['familia'], ['murga']]","[92, 5, 4]"
66,cuatro,0.4928063927016843,5,0.5784921637138607,0.8518808440514,0.7326732673267327,"[['cinco', 'cuarteto', 'dos', 'estaciones', 'número', 'par', 'tres', 'uno'], ['mesa', 'patas'], ['cuarto'], ['familia'], ['cuadrado']]","[73, 11, 7, 5, 4]"
67,tercero,0.8036159626870791,6,0.9233655850980661,0.8703117981181105,0.29577464788732394,"[['bronce', 'podio', 'primero', 'segundo'], ['número', 'tres'], ['lugar', 'puesto'], ['escuela', 'grado'], ['ajeno', 'otro'], ['orden']]","[30, 25, 15, 13, 13, 4]"
68,5,0.2031151558790996,2,0.26676498780302604,0.7614011027154575,0.9545454545454546,"[['6', 'cantidad', 'cinco', 'cuatro', 'dedos', 'impar', 'mano', 'matemática', 'número', 'quinto'], ['años']]","[95, 5]"
69,cinco,0.2667705550281848,2,0.33729006661701383,0.7909232480632093,0.9375,"[['cantidad', 'cuatro', 'dedos', 'impar', 'mano', 'número', 'seis', 'sentidos', 'siete', 'tres'], ['años', 'minutos']]","[94, 6]"
70,cuarto,0.5839598616885111,3,0.6395504701834546,0.9130786214901894,0.7666666666666667,"[['cama', 'dormir', 'dormitorio', 'fracción', 'habitación', 'parte', 'pieza'], ['número', 'quinto', 'tercero'], ['oscuro']]","[77, 13, 10]"
71,patas,0.6566474953592535,6,0.7868671064018223,0.8345087626828935,0.37755102040816324,"[['animal', 'animales', 'gato', 'perro', 'perros'], ['caminar', 'cortas', 'piernas', 'pies'], ['cuatro', 'mesa', 'muebles', 'silla'], ['pato'], ['sostén'], ['rana']]","[38, 29, 23, 4, 3, 3]"
72,posición,0.6379294576461109,3,0.735719021475792,0.8670830018319721,0.6470588235294118,"[['lugar', 'ubicación'], ['postura', 'vertical'], ['fútbol']]","[65, 29, 6]"
73,6,0.4483902964968531,3,0.7764272149637795,0.5775046106772166,0.5,"[['3', 'número', 'par'], ['5', '7', 'seis', 'sexto', 'siete'], ['diablo']]","[50, 45, 5]"
74,dedos,0,1,0,0,1.0,"[['agarrar', 'anillo', 'brazo', 'cinco', 'cuerpo', 'extremidades', 'mano', 'manos', 'pie', 'pies', 'pulgar', 'tacto', 'uña', 'uñas', 'índice']]",[100]
75,mano,0.21683582124241033,2,0.23519338181924146,0.9219469509097842,0.9615384615384616,"[['anillo', 'brazo', 'cuerpo', 'dedo', 'dedos', 'derecha', 'extremidad', 'miembro', 'pie', 'uñas'], ['trabajo']]","[96, 4]"
76,matemática,0.4718755847539086,3,0.5458320399604649,0.8645069365808701,0.8163265306122449,"[['aritmética', 'calculadora', 'cuentas', 'cálculo', 'cálculos', 'lógica', 'número', 'números', 'razonamiento', 'suma'], ['ciencia', 'física', 'liceo'], ['difícil']]","[82, 11, 7]"
77,quinto,0.6886503386989921,6,0.8782310006948975,0.7841334889728325,0.30612244897959184,"[['año', 'grado', 'sexto'], ['5', 'cinco', 'número'], ['lugar', 'piso', 'posición', 'puesto', 'quinta'], ['escuela', 'liceo'], ['cuarto'], ['elemento']]","[31, 27, 21, 13, 4, 4]"
78,7,0.42646620749893904,3,0.5493580724758806,0.7762991550791545,0.8082191780821918,"[['6', '8', 'impar', 'número', 'siete'], ['días', 'semana'], ['pecados']]","[81, 14, 5]"
79,diablo,0,1,0,0,1.0,"[['demonio', 'dios', 'fuego', 'infierno', 'mal', 'maldad', 'malo', 'malvado', 'rojo', 'satanás', 'ángel']]",[100]
80,seis,0.29592486635584037,2,0.3322866302216151,0.8905710896597807,0.9387755102040817,"[['cinco', 'edad', 'número', 'par', 'siete', 'tres'], ['escuela']]","[94, 6]"
81,sexto,0.7311322930904026,5,0.8440485270859251,0.8662206847450282,0.494949494949495,"[['6', 'número', 'quinto', 'seis', 'séptimo'], ['escuela', 'grado'], ['lugar', 'posición'], ['sentido'], ['año']]","[49, 20, 12, 11, 7]"
82,siete,0.37819408031682905,3,0.42438611577789226,0.8911556393017381,0.8737864077669902,"[['cinco', 'días', 'impar', 'nueve', 'número', 'ocho', 'primo', 'seis', 'semana'], ['suerte'], ['enanos']]","[87, 7, 6]"
83,8,0.2729442050170101,2,0.37123232664087563,0.7352382468594985,0.9285714285714286,"[['cantidad', 'infinito', 'número', 'ocho', 'par'], ['bizcocho']]","[93, 7]"
