word,rt,ambiguity,ambiguity_binary,n_communities,entropy,dissimilarity,max_dom,Val_Mean,AoA,SemD,Length,LgSUBTLWF,OLD,log_rt,max_dom_scaled
evolve,712.78125,0.5258481856267082,1,4,0.7693856327350673,0.6834650443853303,0.574468085106383,5.7,10.63,1.48,6,1.924,2.3,2.85295626688651,57.446808510638306
exact,562.6764705882352,0.3396478697414626,1,5,0.4145939855750509,0.8192300939203534,0.8345864661654135,5.58,8.16,2.18,5,3.063,1.85,2.7502587546646624,83.45864661654136
exaggerate,734.5625,0.6630246553847219,1,5,0.8354358521309884,0.7936272470154488,0.4166666666666667,4.36,9.53,1.94,10,2.0,3.5,2.866028753496381,41.66666666666667
exam,662.3529411764706,0.3730995771863157,1,2,0.8935711016541908,0.4175376492095914,0.6896551724137931,4.33,8.21,1.83,4,2.836,2.0,2.8210894691370534,68.96551724137932
examination,742.7575757575758,0.5543809007341522,1,3,0.6913258518426956,0.801909691727102,0.6486486486486487,5.05,8.0,1.83,11,2.45,2.8,2.870847090085843,64.86486486486487
examine,756.7575757575758,0.5311753116083736,1,4,0.8531608241946853,0.6225969319556603,0.527027027027027,5.61,8.85,2.01,7,2.703,2.45,2.878956777290643,52.702702702702695
exceed,745.2058823529412,0.6728161501627018,1,5,0.8663330502813675,0.7766252827872429,0.4074074074074074,4.79,9.95,1.95,6,1.813,2.15,2.872276274382203,40.74074074074074
excel,710.5882352941177,0.6633527708644995,1,3,0.8828729330244688,0.7513570141878103,0.5808823529411765,5.95,11.56,1.34,5,1.58,2.4,2.851618012906839,58.08823529411765
excellence,721.030303030303,0.534486861466924,1,4,0.7670944265590143,0.6967680157245997,0.5892857142857143,7.87,8.24,1.8,10,2.13,3.65,2.8579535173717066,58.92857142857143
excellent,728.2647058823529,0.1354263873940221,1,3,0.2762974075659868,0.4901471518934859,0.9295774647887324,7.56,7.37,1.97,9,3.43,3.4,2.86228926311649,92.95774647887323
exception,754.7272727272727,0.7987883697587628,1,3,0.9800870917864464,0.815017743272975,0.4051724137931034,5.25,9.39,2.25,9,2.613,2.45,2.8777900438842754,40.51724137931034
exceptional,708.8529411764706,0.5148976496901441,1,4,0.7070864284890394,0.728196199141341,0.5915492957746479,7.32,9.5,2.03,11,2.176,3.55,2.8505561456766753,59.154929577464785
